KPTCL Substation,Feeders,KPTCL AE,KPTCL AE Mobile,Division,EE Name,EE Mobile,Subdivision,AEE Name,AEE Mobile,Section,SO Name,SO Mobile
Wilson Garden 66KV,F08,Ram,9876544332,JAYANAGAR,Jayaram,9876543222,S2,Ramesh,9876543232,Shanthi Nagar,Roopesh,9876543336
Wilson Garden 66KV,F09,Ram,9876544332,JAYANAGAR,Jayaram,9876543222,S2,Ramesh,9876543232,Shanthi Nagar,Roopesh,9876543336
ISRO Layout 66KV,F01,Rakesh,9876544333,JAYANAGAR,Jayaram,9876543222,S5,Chetan,9876543233,ISRO Layout,Rachin,9876543337
ISRO Layout 66KV,F02,Rakesh,9876544333,JAYANAGAR,Jayaram,9876543222,S5,Chetan,9876543233,ISRO Layout,Rachin,9876543337
ISRO Layout 66KV,F03,Rakesh,9876544333,JAYANAGAR,Jayaram,9876543222,S5,Chetan,9876543233,ISRO Layout,Rachin,9876543337
ISRO Layout 66KV,F04,Rakesh,9876544333,JAYANAGAR,Jayaram,9876543222,S5,Chetan,9876543233,Vasanthapura,Sachin,9876543338
ISRO Layout 66KV,F05,Rakesh,9876544333,JAYANAGAR,Jayaram,9876543222,S5,Chetan,9876543233,Vasanthapura,Sachin,9876543338
ISRO Layout 66KV,F06,Rakesh,9876544333,JAYANAGAR,Jayaram,9876543222,S5,Chetan,9876543233,Vasanthapura,Sachin,9876543338
ISRO Layout 66KV,F07,Rakesh,9876544333,JAYANAGAR,Jayaram,9876543222,S18,Guru,9876543234,Chikkalasandra,Veeresh,9876543339
ISRO Layout 66KV,F08,Rakesh,9876544333,JAYANAGAR,Jayaram,9876543222,S18,Guru,9876543234,Chikkalasandra,Veeresh,9876543339
ISRO Layout 66KV,F09,Rakesh,9876544333,JAYANAGAR,Jayaram,9876543222,S18,Guru,9876543234,Chikkalasandra,Veeresh,9876543339
ISRO Layout 66KV,F10,Rakesh,9876544333,JAYANAGAR,Jayaram,9876543222,S18,Guru,9876543234,Poorna Pragna Layout,Nagaraj,9876543340
ISRO Layout 66KV,F11,Rakesh,9876544333,JAYANAGAR,Jayaram,9876543222,S18,Guru,9876543234,Poorna Pragna Layout,Nagaraj,9876543340
ISRO Layout 66KV,F12,Rakesh,9876544333,JAYANAGAR,Jayaram,9876543222,S18,Guru,9876543234,Poorna Pragna Layout,Nagaraj,9876543340
JP Nagar 66KV,F01,Mallesh,9876544334,JAYANAGAR,Jayaram,9876543222,S6,Suresh,9876543235,JP Nagar,Harsha,9876543341
JP Nagar 66KV,F02,Mallesh,9876544334,JAYANAGAR,Jayaram,9876543222,S6,Suresh,9876543235,JP Nagar,Harsha,9876543341
JP Nagar 66KV,F03,Mallesh,9876544334,JAYANAGAR,Jayaram,9876543222,S6,Suresh,9876543235,Puttenehalli,Kumar,9876543342
JP Nagar 66KV,F04,Mallesh,9876544334,JAYANAGAR,Jayaram,9876543222,S6,Suresh,9876543235,Puttenehalli,Kumar,9876543342
JP Nagar 66KV,F05,Mallesh,9876544334,JAYANAGAR,Jayaram,9876543222,S6,Suresh,9876543235,Puttenehalli,Kumar,9876543342
JP Nagar 66KV,F06,Mallesh,9876544334,JAYANAGAR,Jayaram,9876543222,S6,Suresh,9876543235,Konana Kunte,Kartik,9876543343
JP Nagar 66KV,F07,Mallesh,9876544334,JAYANAGAR,Jayaram,9876543222,S6,Suresh,9876543235,Konana Kunte,Kartik,9876543343
JP Nagar 66KV,F08,Mallesh,9876544334,JAYANAGAR,Jayaram,9876543222,S6,Suresh,9876543235,Konana Kunte,Kartik,9876543343
JP Nagar 66KV,F09,Mallesh,9876544334,JAYANAGAR,Jayaram,9876543222,S14,Naveen,9876543236,JP Nagar 2nd Phase,Rahul,9876543344
JP Nagar 66KV,F10,Mallesh,9876544334,JAYANAGAR,Jayaram,9876543222,S14,Naveen,9876543236,JP Nagar 2nd Phase,Rahul,9876543344
JP Nagar 66KV,F11,Mallesh,9876544334,JAYANAGAR,Jayaram,9876543222,S14,Naveen,9876543236,BTM Layout 2nd Stage,Vignesh,9876543345
JP Nagar 66KV,F12,Mallesh,9876544334,JAYANAGAR,Jayaram,9876543222,S14,Naveen,9876543236,BTM Layout 2nd Stage,Vignesh,9876543345
JP Nagar 66KV,F13,Mallesh,9876544334,JAYANAGAR,Jayaram,9876543222,S14,Naveen,9876543236,BTM Layout 2nd Stage,Vignesh,9876543345
JP Nagar 66KV,F14,Mallesh,9876544334,JAYANAGAR,Jayaram,9876543222,S9,Vinay,9876543237,BSK 2nd stage,Vishwa,9876543346
BSK 66KV,F01,Abhishek,9876544335,JAYANAGAR,Jayaram,9876543222,S9,Vinay,9876543237,BSK 2nd stage,Vishwa,9876543346
BSK 66KV,F02,Abhishek,9876544335,JAYANAGAR,Jayaram,9876543222,S9,Vinay,9876543237,BSK 2nd stage,Vishwa,9876543346
BSK 66KV,F03,Abhishek,9876544335,JAYANAGAR,Jayaram,9876543222,S9,Vinay,9876543237,Padmanabha Nagar,Ram,9876543347
BSK 66KV,F04,Abhishek,9876544335,JAYANAGAR,Jayaram,9876543222,S9,Vinay,9876543237,Padmanabha Nagar,Ram,9876543347
BSK 66KV,F05,Abhishek,9876544335,JAYANAGAR,Jayaram,9876543222,S9,Vinay,9876543237,Padmanabha Nagar,Ram,9876543347
BSK 66KV,F06,Abhishek,9876544335,JAYANAGAR,Jayaram,9876543222,S15,Vindod,9876543238,Kattriguppe O&M,Lakshaman,9876543348
BSK 66KV,F07,Abhishek,9876544335,JAYANAGAR,Jayaram,9876543222,S15,Vindod,9876543238,Kattriguppe O&M,Lakshaman,9876543348
BSK 66KV,F08,Abhishek,9876544335,JAYANAGAR,Jayaram,9876543222,S15,Vindod,9876543238,Kattriguppe O&M,Lakshaman,9876543348
BSK 66KV,F09,Abhishek,9876544335,JAYANAGAR,Jayaram,9876543222,S15,Vindod,9876543238,ITTAMADU O&M,Sharath,9876543349
BSK 66KV,F09,Abhishek,9876544335,JAYANAGAR,Jayaram,9876543222,S15,Vindod,9876543238,ITTAMADU O&M,Sharath,9876543349
BSK 66KV,F09,Abhishek,9876544335,JAYANAGAR,Jayaram,9876543222,S15,Vindod,9876543238,ITTAMADU O&M,Sharath,9876543349
